SEXO;EDAD;P1;ECOPER;ECOESP;PESPANNA1;PPERSONAL1;RECUVOTOG1;PROBVOTO;ESCIDEOL;NIVELESTENTREV;RELIGION;ECIVIL;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL
2;53;1;2;2;58;80;1;10;3;13;6;1;1;1;1;2;3
2;56;2;4;2;6;6;1;10;5;4;2;1;7;0;0;5;12
1;70;2;3;3;80;80;2;9;5;6;2;1;2;0;0;4;3
2;44;2;2;2;77;80;1;10;3;6;6;1;1;1;3;4;5
2;69;1;2;5;3;78;1;10;5;5;4;5;2;0;0;6;12
2;55;4;2;4;13;8;2;10;6;11;2;1;1;3;3;4;3
2;55;1;2;4;51;8;2;10;5;11;1;1;1;3;2;2;3
1;55;1;4;2;8;8;1;10;3;11;5;2;1;1;4;5;97
2;53;1;4;3;8;8;21;10;2;6;6;1;1;1;4;5;5
2;80;1;2;3;1;6;2;10;8;4;1;1;7;0;0;5;3
1;55;2;2;2;77;8;1;10;3;8;6;2;1;1;3;4;3
2;70;1;2;5;50;78;2;10;7;5;2;3;3;0;0;5;6
2;53;1;1;2;6;6;1;10;1;13;4;1;1;1;2;1;2
2;50;1;5;5;13;9;2;10;5;9;2;1;4;0;0;5;12
2;55;1;3;2;8;1;1;10;1;4;2;1;5;0;0;5;9
1;55;2;2;2;51;21;2;10;5;14;4;1;1;1;2;1;3
1;71;1;2;2;13;6;1;10;3;12;6;2;2;0;0;3;3
2;49;1;2;3;8;8;21;10;1;9;6;5;1;1;2;5;5
2;51;2;2;2;20;8;21;10;3;9;2;5;1;1;2;4;3
1;53;2;1;2;8;6;1;10;4;11;4;1;1;1;1;1;5
2;24;1;2;5;51;16;1;8;3;7;5;2;1;1;5;6;3
2;32;4;2;2;1;58;1;10;3;11;4;2;1;1;3;4;3
2;64;1;2;4;13;8;2;10;9;6;1;1;2;0;0;8;3
1;69;2;2;4;30;35;2;10;6;12;1;1;2;0;0;2;3
2;36;2;2;3;8;97;2;3;3;5;2;1;8;0;0;5;3
1;69;2;2;8;1;51;2;9;6;9;2;2;2;0;0;4;3
